id, ap_id, mac, bytes_used, avg_signal_quality, ssid, vlan, radio_mode, ap_radio_index, ap_radio_description, connect_time, disconnect_time, ht_mode, security_mode, authen_subtype, cipher, authen_type, interface_index, ap_folder_id, is_guest_user, from_snmp_trap, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, aruba_device_type, tunneled_device_id, average_bandwidth, avg_goodput, avg_speed, search_mac, lan_ips, lan_hostnames, from_snmp_poll, from_amon, bytes_in, bytes_out, avg_signal
33336,196,BC:F5:AC:F7:15:34,0,41,tru,7,a,2,802.11ac,1496330632,1496330934,0,\N,PAP,\N,MAC (PAP),\N,1,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,BCF5ACF71534,10.20.114.251,-,1,0,0,0,-55
33337,211,AC:0D:1B:FB:93:C9,42000,24,eduroam,12,g,1,802.11bgn,1496330632,1496331235,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,7,0,0,0,0,0,0,0,0,0,Android,\N,1120,0,0,AC0D1BFB93C9,10.50.237.77,-,1,0,23100,18900,-72
33338,193,E0:B5:2D:3A:0B:DE,255600,17,eduroam,12,a,2,802.11ac,1496327016,1496331235,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,568,0,0,E0B52D3A0BDE,10.50.133.55,-,1,0,153000,102600,-77.01230769
33339,205,9C:5C:F9:29:45:37,300,7,tru,7,a,2,802.11ac,1496330030,1496331235,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Android,\N,3,0,0,9C5CF9294537,10.20.128.26,-,1,0,300,0,-86.71367521
33340,191,F0:99:BF:18:F0:3D,0,20,eduroam,12,g,1,802.11bgn,1496330934,1496331235,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,F099BF18F03D,10.50.145.123,-,1,0,0,0,-74.53333333
33341,191,F0:79:60:48:68:DD,0,22,eduroam,12,g,1,802.11bgn,1496330934,1496331235,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,F079604868DD,10.50.245.86,-,1,0,0,0,-72.73333333
33342,196,00:56:CD:18:AC:0C,5600100,38,eduroam,12,a,2,802.11ac,1496330632,1496331235,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,1,0,0,0,0,0,0,0,0,0,iPhone,\N,149336,0,0,0056CD18AC0C,10.50.1.177,-,1,0,5210400,389700,-51.69644444
33343,199,0C:30:21:15:0D:EF,0,\N,eduroam,12,a,2,802.11ac,1496330934,1496331235,0,\N,\N,\N,EAP,\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPhone,\N,0,0,0,0C3021150DEF,10.50.253.216,-,1,0,0,0,\N
33344,193,E0:B5:2D:3A:0B:DE,0,24,eduroam,12,g,1,802.11bgn,1496331235,1496331536,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,E0B52D3A0BDE,10.50.133.55,-,1,0,0,0,-71.26666667
33345,205,F4:F5:24:E2:C7:DC,1669800,0,tru,7,g,1,802.11bgn,1496330632,1496331536,0,\N,\N,\N,Not Authenticated,\N,4,0,0,\N,\N,\N,\N,\N,\N,0,Android,\N,22264,0,0,F4F524E2C7DC,10.20.116.33,-,1,0,444900,1224900,-96
33346,205,F0:79:60:B9:4C:65,0,5,eduroam,12,g,1,802.11bgn,1496330632,1496331536,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,F07960B94C65,10.50.229.146,-,1,0,0,0,-89.99985185
33347,205,A0:D7:95:31:B3:FE,0,3,tru,7,g,1,802.11bgn,1496330632,1496331536,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,A0D79531B3FE,10.20.129.56,-,1,0,0,0,-93
33348,205,2C:0E:3D:C1:5C:63,0,8,eduroam,12,g,1,802.11bgn,1496330632,1496331536,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,2C0E3DC15C63,10.50.93.211,-,1,0,0,0,-87.99666667
33349,190,2C:0E:3D:AA:0E:03,0,\N,tru,7,a,2,802.11ac,1496331235,1496331536,0,\N,PAP,\N,MAC (PAP),\N,4,0,0,0,0,7,0,0,0,0,Android,\N,0,0,0,2C0E3DAA0E03,10.20.154.93,-,1,0,0,0,\N
33350,191,AC:5F:3E:3E:FA:C9,624600,39,eduroam,12,a,2,802.11ac,1496329727,1496331837,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,3331,0,0,AC5F3E3EFAC9,10.50.38.50,-,1,0,487800,136800,-56.24965986
33351,191,F0:99:BF:18:F0:3D,155400,29,eduroam,12,a,2,802.11ac,1496331235,1496331837,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,4144,0,0,F099BF18F03D,10.50.145.123,-,1,0,109800,45600,-66.47297297
33352,193,54:4E:90:3E:90:DC,0,\N,eduroam,12,g,1,802.11bgn,1496331536,1496331837,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPhone,\N,0,0,0,544E903E90DC,10.50.111.120,-,1,0,0,0,\N
33353,191,D0:25:98:61:F4:39,0,\N,eduroam,12,a,2,802.11ac,1496331536,1496331837,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPhone,\N,0,0,0,D0259861F439,10.50.158.240,-,1,0,0,0,\N
33354,194,2C:0E:3D:C1:5C:63,0,12,eduroam,12,a,2,802.11ac,1496331536,1496331837,0,\N,\N,\N,EAP,\N,4,0,0,6,0,56,0,6,0,0,Android,\N,0,0,0,2C0E3DC15C63,10.50.93.211,-,1,0,0,0,-71.2
33355,205,AC:5F:3E:3E:FA:C9,0,43,eduroam,12,g,1,802.11bgn,1496331837,1496332137,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,AC5F3E3EFAC9,10.50.38.50,-,1,0,0,0,-52.00133333
33356,205,00:6F:64:A4:27:BE,0,7,tru,7,g,1,802.11bgn,1496330934,1496332137,0,\N,PAP,\N,MAC (PAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,006F64A427BE,10.20.125.125,-,1,0,0,0,-89
33357,192,04:4B:ED:52:40:DF,0,\N,eduroam,12,a,2,802.11ac,1496331837,1496332137,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,044BED5240DF,10.50.32.231,-,1,0,0,0,\N
33358,192,48:45:20:19:BC:B1,0,\N,eduroam,12,g,1,802.11bgn,1496332137,1496332438,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,Win 10,\N,0,0,0,48452019BCB1,10.50.237.226,-,1,0,0,0,\N
33359,192,F0:99:BF:18:F0:3D,58500,24,eduroam,12,g,1,802.11bgn,1496331837,1496332438,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,1560,0,0,F099BF18F03D,10.50.145.123,-,1,0,42300,16200,-71.08533333
33360,193,38:71:DE:6D:D5:6C,258900,43,eduroam,12,g,1,802.11bgn,1496330030,1496332438,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,986,0,0,3871DE6DD56C,10.50.113.188,-,1,0,178800,80100,-52.3649789
33361,192,38:71:DE:6D:D5:6C,0,43,eduroam,12,g,1,802.11bgn,1496332438,1496332739,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,3871DE6DD56C,10.50.113.188,-,1,0,0,0,-53
33362,197,64:76:BA:D9:08:96,236216400,39,eduroam,12,a,2,802.11ac,1496329427,1496332739,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPod,\N,629910,0,0,6476BAD90896,10.50.130.189,-,1,0,226166400,10050000,-53.715
33363,190,64:A3:CB:56:35:56,68400,27,eduroam,12,a,2,802.11ac,1496330632,1496332739,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,304,0,0,64A3CB563556,10.50.174.221,-,1,0,36000,32400,-66.81713967
33364,191,F0:99:BF:18:F0:3D,0,25,eduroam,12,a,2,802.11ac,1496332438,1496332739,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPhone,\N,0,0,0,F099BF18F03D,10.50.145.123,-,1,0,0,0,-71
33365,191,B4:18:D1:04:11:E3,33300,27,eduroam,12,a,2,802.11ac,1496331235,1496332739,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,444,0,0,B418D10411E3,10.50.186.145,-,1,0,18300,15000,-68.50544218
33366,196,BC:F5:AC:F7:15:34,11100,50,tru,7,a,2,802.11ac,1496331837,1496332739,0,\N,PAP,\N,MAC (PAP),\N,1,0,0,0,0,0,0,0,0,0,Android,\N,148,0,0,BCF5ACF71534,10.20.114.251,-,1,0,6600,4500,-40.24
33367,190,AC:CF:5C:4C:5C:FD,0,31,eduroam,12,a,2,802.11ac,1496332438,1496332739,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPad,\N,0,0,0,ACCF5C4C5CFD,10.50.112.90,-,1,0,0,0,-60
33368,199,84:38:38:CD:4B:DF,0,26,eduroam,12,a,2,802.11ac,1496332438,1496332739,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,843838CD4BDF,\N,-,1,0,0,0,-70
33369,206,68:A8:6D:07:1E:B4,900,53,tru,7,a,2,802.11ac,1496331837,1496333041,0,\N,PAP,\N,MAC (PAP),\N,7,0,0,0,0,0,0,0,0,0,OS X,\N,8,0,0,68A86D071EB4,10.20.143.105,-,1,0,900,0,-41
33370,191,88:C9:D0:F0:7F:53,0,\N,eduroam,12,a,2,802.11ac,1496332739,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,88C9D0F07F53,10.50.42.67,-,1,0,0,0,\N
33371,191,AC:37:43:4C:31:71,0,\N,eduroam,12,a,2,802.11ac,1496332739,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Linux,\N,0,0,0,AC37434C3171,10.50.226.236,-,1,0,0,0,\N
33372,193,E0:B5:2D:3A:0B:DE,385200,17,eduroam,12,a,2,802.11ac,1496331536,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,2568,0,0,E0B52D3A0BDE,10.50.133.55,-,1,0,288300,96900,-73.17958347
33373,205,EC:9B:F3:19:AC:2C,0,6,eduroam,12,g,1,802.11bgn,1496332137,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,0,0,0,EC9BF319AC2C,10.50.91.204,-,1,0,0,0,-90
33374,205,90:B6:86:E6:47:4D,1070400,14,eduroam,12,a,2,802.11ac,1496330934,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,Android,\N,4757,0,0,90B686E6474D,10.50.88.202,-,1,0,204000,866400,-71.99107981
33375,194,98:9E:63:57:6A:2F,0,\N,eduroam,12,a,2,802.11ac,1496332739,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,,\N,0,0,0,989E63576A2F,10.50.99.219,-,1,0,0,0,\N
33376,197,F0:99:BF:18:F0:3D,0,\N,eduroam,12,a,2,802.11ac,1496332739,1496333041,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,F099BF18F03D,10.50.145.123,-,1,0,0,0,\N
