id, ap_id, mac, ap_radio_index, ap_radio_description, ssid, vlan, radio_mode, connect_time, ht_mode, security_mode, authen_subtype, cipher, interface_index, ap_folder_id, from_snmp_trap, authen_type_meaningful, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, tunneled_device_id, search_mac, from_snmp_poll, dmz_auth_set, from_amon, controller_id
33325,196,10:68:3F:47:94:4E,1,802.11bgn,eduroam,12,g,1496328824,0,\N,EAP-PEAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,10683F47944E,1,0,0,187
33565,194,A4:E4:B8:77:D0:AC,1,802.11bgn,tru,7,g,1496336052,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,A4E4B877D0AC,1,0,0,187
33313,192,C0:33:5E:16:03:15,2,802.11ac,eduroam,12,a,1496328824,0,\N,EAP-PEAP,\N,\N,4,0,1,3,0,0,0,3,0,0,\N,C0335E160315,1,0,0,187
33316,197,D0:33:11:0E:0E:AF,2,802.11ac,eduroam,12,a,1496328824,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,D033110E0EAF,1,0,0,187
33562,193,AC:5F:3E:2B:27:F5,2,802.11ac,tru,7,a,1496336052,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,AC5F3E2B27F5,1,0,0,187
33611,194,AC:5F:3E:A8:A1:31,2,802.11ac,eduroam,12,a,1496337557,0,\N,\N,\N,\N,4,0,0,0,0,0,0,0,0,0,\N,AC5F3EA8A131,1,0,0,187
33566,194,D8:BB:2C:4F:29:DA,2,802.11ac,eduroam,12,a,1496336052,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,D8BB2C4F29DA,1,0,0,187
33334,196,48:BF:6B:0F:AE:3D,2,802.11ac,eduroam,12,a,1496329125,0,\N,EAP-PEAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,48BF6B0FAE3D,1,0,0,187
33567,190,7C:7A:91:84:E9:87,2,802.11ac,tru,7,a,1496336052,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,7C7A9184E987,1,0,0,187
32483,196,88:83:22:DD:58:75,1,802.11bgn,eduroam,12,g,1496255949,0,\N,EAP-PEAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,888322DD5875,1,0,0,187
